标题,标题链接,wb_text,wb_text_链接,wb_handle
"
            可还山：既然谭警官都没有透露地址，希望各位就不要闲着没事找过去        ",https://weibo.com/qingshanyu,可还山,https://verified.weibo.com/verify,13901
"
            --Amiko：请最快的速度送我去火葬场哈哈哈哈哈        ",https://weibo.com/6391142225,--Amiko,https://vip.weibo.com/personal?from=main,6676
"
            轩轩今天喝7喜了吗：大爷家境贫困，但是不想要国家补助，只想靠自己的劳动来维持生活，很值得敬佩        ",https://weibo.com/6011887126,轩轩今天喝7喜了吗,https://car.weibo.com/pc/view?page=123456,5367
"
            Epeisen：大爷语录划重点：“你没办法选择以前的事，但是可以选择改变以后的事。有困难了，慢慢克服。”​        ",https://weibo.com/2593169324,Epeisen,https://vip.weibo.com/personal?from=main,5075
"
            苦苣一点都不苦：富贵大爷没想到十年后还要再被谭sir洗脑壳        ",https://weibo.com/2641545607,苦苣一点都不苦,https://verified.weibo.com/verify,3383
"
            白白Yang77：在这就 哈哈哈笑得不行 ¡评论配图        ",https://weibo.com/5548355089,白白Yang77,javascript:void(0);,2187
"
            阿姨别摸了：让谭sir找那条被偷的老狗的这里集合        ",https://weibo.com/5256225588,阿姨别摸了,https://vip.weibo.com/personal?from=main,1886
"
            天才少年阿妖：十年前50岁说自己69岁都没人怀疑，贫穷真的会使人苍老。        ",https://weibo.com/tiancaishaonianayao,天才少年阿妖,https://verified.weibo.com/verify,1468
"
            云洛水：谢谢谭警官，如果可以，麻烦谭警官给老大爷带句话，我是做民政工作的，非常理解大爷不愿意给国家增加负担，自力更生的心态，但是他弟弟可以申请特困（精神残疾人单独施保），这样在医疗，照顾，衣食住行，电力，电视费都能够有所减免和帮助。        ",https://weibo.com/1475049741,云洛水,javascript:void(0);,655
"
            旧时南京：希望谭sir可以今后多做类似的视频呀，看着真暖心        ",https://weibo.com/6196279312,旧时南京,https://verified.weibo.com/verify,591
"
            泰州新鲜事：全国蹭热度的网红已经最快速度赶往成都火葬场。        ",https://weibo.com/TZ225700,泰州新鲜事,https://verified.weibo.com/verify,671
"
            半糖de奶茶：谢谢大爷给我的温暖。对生活怀有感恩！我们一起向前看！！！！        ",https://weibo.com/5883856333,半糖de奶茶,javascript:void(0);,591
"
            阏是吾人：谭警官，十年过去了，依然风趣幽默，二道桥，成华大道..火速到火葬场，百无禁忌..有才华的一位警官，最关键的是接地气，希望福贵大爷能平静的享受现在的生活，不被人恶意炒作，希望谭警官无论在哪个岗位工作，都能给老百姓带来一个又一个幽默中的人生感悟@谭乔         ",https://weibo.com/6006498958,阏是吾人,https://weibo.com/n/%E8%B0%AD%E4%B9%94?from=feed&loc=at,427
