Sample	C1	C2	C3	C4	T11	T12	T13	T21	T22	T23
Pseudomonadaceae	666	764	39	30	636	579	10	180	726	441
Enterobacteriaceae	723	828	170	90	79	130	120	110	108	106
Comamonadaceae	780	892	330	190	180	190	170	187	183	90
Flavobacteriaceae	280	290	350	280	300	180	160	173	150	190
Bacteroidaceae	220	270	420	330	420	270	210	301	300	79
Bradyrhizobiaceae	324	380	544	421	509	327	266	351	340	328
Rhodobacteraceae	381	444	639	500	612	384	310	416	403	390
Zoogloeaceae	438	508	733	579	716	441	354	481	466	452
Cyclobacteriaceae	495	572	324	658	819	498	398	546	39	514
Lachnospiraceae	552	636	381	737	923	800	700	780	870	828
Rhizobiaceae	970	890	980	816	1026	1000	790	870	870	892
Acidaminococcaceae	253	240	270	342	170	442	530	498	350	290
Aeromonadaceae	3200	3300	3560	3410	3510	3910	3780	3587	3568	3145
Campylobacteraceae	2400	2400	2300	2400	2400	2300	2800	2600	2500	2670
Bacillaceae	837	956	780	160	266	840	662	669	421	885
Ruminococcaceae	894	110	280	210	310	897	706	726	486	120
Burkholderiaceae	220	110	220	266	354	954	750	669	530	170
Moraxellaceae	381	892	280	79	398	300	794	726	574	160
Clostridiaceae	438	290	330	180	183	420	50	380	190	120
Microbacteriaceae	495	270	421	300	150	39	101	444	180	170
Sphingomonadaceae	552	380	500	544	300	170	110	190	190	120
Prevotellaceae	280	100	330	100	170	101	100	180	180	170
Gordoniaceae	220	170	350	733	220	102	723	270	270	160
Erysipelotrichaceae	324	330	420	380	220	103	723	327	327	210
Tannerellaceae	381	350	330	380	280	290	110	384	384	266
Xanthomonadaceae	438	420	350	444	330	270	280	441	441	310
Caulobacteraceae	121	120	140	200	421	380	220	180	200	354
