sample_id 	Iris_setosa 	Iris_versicolor 	Iris_virginica
        1 	        None 	            "--"   	           6.3
        2 	        4.9 	                    	           5.8
        3 	        4.7 	            NaN 	           7.1
        4 	        4.6 	            5.5 	           6.3
        5 	        5   	            6.5 	           6.5
        6 	        5.4 	            5.7 	           7.6
        7 	        4.6 	            6.3 	           4.9
        8 	        5   	            4.9 	           7.3
        9 	        4.4 	            6.6 	           6.7
       10 	        4.9 	            5.2 	           7.2
       11 	        5.4 	            5   	           6.5
       12 	        4.8 	            5.9 	           6.4
       13 	        4.8 	            6   	           6.8
       14 	        4.3 	            6.1 	           5.7
       15 	        5.8 	            5.6 	           5.8
       16 	        5.7 	            6.7 	           6.4
       17 	        5.4 	            5.6 	           6.5
       18 	        5.1 	            5.8 	           7.7
       19 	        5.7 	            6.2 	           7.7
       20 	        5.1 	            5.6 	           6
       21 	        5.4 	            5.9 	           6.9
       22 	        5.1 	            6.1 	           5.6
       23 	        4.6 	            6.3 	           7.7
       24 	        5.1 	            6.1 	           6.3
       25 	        4.8 	            6.4 	           6.7
       26 	        5   	            6.6 	           7.2
       27 	        5   	            6.8 	           6.2
       28 	        5.2 	            6.7 	           6.1
       29 	        5.2 	            6   	           6.4
       30 	        4.7 	            5.7 	           7.2
       31 	        4.8 	            5.5 	           7.4
       32 	        5.4 	            5.5 	           7.9
       33 	        5.2 	            5.8 	           6.4
       34 	        5.5 	            6   	           6.3
       35 	        4.9 	            5.4 	           6.1
       36 	        5   	            6   	           7.7
       37 	        5.5 	            6.7 	           6.3
       38 	        4.9 	            6.3 	           6.4
       39 	        4.4 	            5.6 	           6
       40 	        5.1 	            5.5 	           6.9
       41 	        5   	            5.5 	           6.7
       42 	        4.5 	            6.1 	           6.9
       43 	        4.4 	            5.8 	           5.8
       44 	        5   	            5   	           6.8
       45 	        5.1 	            5.6 	           6.7
       46 	        4.8 	            5.7 	           6.7
       47 	        5.1 	            5.7 	           6.3
       48 	        4.6 	            6.2 	           6.5
       49 	        5.3 	            5.1 	           6.2
       50 	        5   	            5.7 	           5.9
